model,iid_mean_macro_f1,ood_mean_macro_f1,mean_ood_drop
cnn1d,0.643919253447199,0.4924180093433773,0.1515012441038217
cnn1d_v2,0.7800627437792659,0.5309771422674128,0.2490856015118531
cnn1d_v3,0.9310126140102172,0.5858679978829388,0.3451446161272784
rf,0.9537395585182563,0.7141611792016466,0.23957837931660975
transformer,0.89929994532895,0.6223443955849115,0.27695554974403847
transformer_v2,0.9291691865874534,0.5942088150618422,0.3349603715256112
