model,iid_mean_macro_f1,ood_mean_macro_f1,mean_ood_drop,mean_cpd_vs_iid,iid_rank,ood_rank,drop_rank,topology_stability_rank
rf,0.9537395585182563,0.7141611792016466,0.23957837931660975,0.5972959441112673,1.0,1.0,2.0,1.0
transformer,0.89929994532895,0.6223443955849115,0.27695554974403847,0.7198599376775341,4.0,2.0,4.0,3.0
transformer_v2,0.9291691865874534,0.5942088150618422,0.3349603715256112,0.8236470599858622,3.0,3.0,5.0,5.0
cnn1d_v3,0.9310126140102172,0.5858679978829388,0.3451446161272784,0.8496870086494035,2.0,4.0,6.0,6.0
cnn1d_v2,0.7800627437792659,0.5309771422674128,0.2490856015118531,0.723760537470507,5.0,5.0,3.0,4.0
cnn1d,0.643919253447199,0.4924180093433773,0.1515012441038217,0.6323185818082536,6.0,6.0,1.0,2.0
