family,v1_model,v2_model,delta_iid,delta_ood,delta_ood_drop,delta_cpd
CNN,cnn1d,cnn1d_v2,0.13614349033206685,0.038559132924035455,0.0975843574080314,0.09144195566225333
CNN-optimized,cnn1d_v2,cnn1d_v3,0.1509498702309513,0.05489085561552598,0.09605901461542532,0.12592647117889655
Transformer,transformer,transformer_v2,0.02986924125850343,-0.028135580523069303,0.058004821781572735,0.1037871223083281
