,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,647,26,33,91,0
Light_T1,13,554,111,112,0
Light_XM,4,205,498,82,0
Sensor,2,125,59,618,0
Socket,0,0,0,0,801
