,precision,recall,f1-score,support
Camera,0.8726790450928382,0.9013698630136986,0.8867924528301887,365.0
Light_T1,0.0,0.0,0.0,363.0
Light_XM,0.7228915662650602,0.8130081300813008,0.7653061224489796,369.0
Sensor,0.0,0.0,0.0,364.0
Socket,1.0,0.9893617021276596,0.9946524064171123,376.0
accuracy,0.5449101796407185,0.5449101796407185,0.5449101796407185,0.5449101796407185
macro avg,0.5191141222715797,0.5407479390445318,0.5293501963392562,1837.0
weighted avg,0.5232851602671166,0.5449101796407185,0.5335147029284304,1837.0
