,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,105,8,0,4,0
Light_T1,0,73,20,17,0
Light_XM,0,0,107,3,0
Sensor,0,3,8,98,0
Socket,0,0,0,1,109
