,precision,recall,f1-score,support
Camera,0.9814323607427056,0.9296482412060302,0.9548387096774194,398.0
Light_T1,0.49022801302931596,0.76010101010101,0.596039603960396,396.0
Light_XM,0.5770676691729323,0.7791878172588832,0.6630669546436285,394.0
Sensor,0.734375,0.11779448621553884,0.20302375809935205,399.0
Socket,1.0,1.0,1.0,406.0
accuracy,0.7180130456598093,0.7180130456598093,0.7180130456598093,0.7180130456598093
macro avg,0.7566206085889908,0.7173463109562925,0.6833938052761592,1993.0
weighted avg,0.7582140789710693,0.7180130456598093,0.6845521069900455,1993.0
