config,unit,model,macro_f1,n_cols,n_train,n_test
len,g0_R3_R4_to_R2,rf,0.7523159552254546,80,-1,-1
len,g0_R3_R4_to_R2,xgboost,0.6998679938569842,80,-1,-1
len,g0_R3_R4_to_R2,lightgbm,0.7138304879928665,80,-1,-1
len,g0_R3_R4_to_R2,stacking,0.6605149986328369,80,-1,-1
rssi,JOINT,rf,0.8464820177012167,86,4404,1102
rssi,JOINT,xgboost,0.8641106202570666,86,4404,1102
rssi,JOINT,lightgbm,0.8694361668229084,86,4404,1102
rssi,JOINT,stacking,0.8636633898641373,86,4404,1102
rssi,g0_R2_R3_to_R4,rf,0.7161849600735065,86,-1,-1
rssi,g0_R2_R3_to_R4,xgboost,0.7666953868080096,86,-1,-1
rssi,g0_R2_R3_to_R4,lightgbm,0.7644700953224918,86,-1,-1
rssi,g0_R2_R3_to_R4,stacking,0.7572394891232392,86,-1,-1
rssi,g0_R2_R4_to_R3,rf,0.8194098954925693,86,-1,-1
rssi,g0_R2_R4_to_R3,xgboost,0.8465897540177814,86,-1,-1
rssi,g0_R2_R4_to_R3,lightgbm,0.8460666794811063,86,-1,-1
rssi,g0_R2_R4_to_R3,stacking,0.8343954723799742,86,-1,-1
rssi,g0_R3_R4_to_R2,rf,0.7236993864437556,86,-1,-1
rssi,g0_R3_R4_to_R2,xgboost,0.7641050881914407,86,-1,-1
rssi,g0_R3_R4_to_R2,lightgbm,0.7695565272276548,86,-1,-1
rssi,g0_R3_R4_to_R2,stacking,0.7789935512945718,86,-1,-1
singletons,JOINT,rf,0.9019570229937365,81,4404,1102
singletons,JOINT,xgboost,0.8999513103732835,81,4404,1102
singletons,JOINT,lightgbm,0.90354179391933,81,4404,1102
singletons,JOINT,stacking,0.8725570898184329,81,4404,1102
singletons,g0_R2_R3_to_R4,rf,0.6553313458696685,81,-1,-1
singletons,g0_R2_R3_to_R4,xgboost,0.6607055328158368,81,-1,-1
singletons,g0_R2_R3_to_R4,lightgbm,0.6592952366332947,81,-1,-1
singletons,g0_R2_R3_to_R4,stacking,0.4423569223219232,81,-1,-1
singletons,g0_R2_R4_to_R3,rf,0.6011808857006564,81,-1,-1
singletons,g0_R2_R4_to_R3,xgboost,0.5322523812544072,81,-1,-1
singletons,g0_R2_R4_to_R3,lightgbm,0.5475308110955625,81,-1,-1
singletons,g0_R2_R4_to_R3,stacking,0.4689004321698028,81,-1,-1
singletons,g0_R3_R4_to_R2,rf,0.8274974806875868,81,-1,-1
singletons,g0_R3_R4_to_R2,xgboost,0.784376807842667,81,-1,-1
singletons,g0_R3_R4_to_R2,lightgbm,0.7896348076094449,81,-1,-1
singletons,g0_R3_R4_to_R2,stacking,0.6320250288366556,81,-1,-1
subtype,JOINT,rf,0.895418844577415,78,4404,1102
subtype,JOINT,xgboost,0.9062835215863096,78,4404,1102
subtype,JOINT,lightgbm,0.9036742863446907,78,4404,1102
subtype,JOINT,stacking,0.8747033244533245,78,4404,1102
subtype,g0_R2_R3_to_R4,rf,0.6560917281680687,78,-1,-1
subtype,g0_R2_R3_to_R4,xgboost,0.6633982557592711,78,-1,-1
subtype,g0_R2_R3_to_R4,lightgbm,0.6682207415685896,78,-1,-1
subtype,g0_R2_R3_to_R4,stacking,0.44166561156975775,78,-1,-1
subtype,g0_R2_R4_to_R3,rf,0.5979326340280359,78,-1,-1
subtype,g0_R2_R4_to_R3,xgboost,0.5297697687645592,78,-1,-1
subtype,g0_R2_R4_to_R3,lightgbm,0.5537021248992458,78,-1,-1
subtype,g0_R2_R4_to_R3,stacking,0.4672515173503413,78,-1,-1
subtype,g0_R3_R4_to_R2,rf,0.8208842414335404,78,-1,-1
