aggregation,family,n_family_cols,S_obj,d_loro,d_joint,joint_full,joint_drop
max_base,burst,7,-0.020982330042753405,-0.039600553452843634,-0.006206074470030076,0.91007095630772,0.9038648818376899
max_base,down,6,-0.011492594962783764,-0.015351696111684854,-0.0012863670496336965,0.91007095630772,0.9087845892580863
max_base,interarrival,12,0.004534975175909173,-0.01418795246568938,-0.006240975880532851,0.91007095630772,0.9038299804271871
max_base,len,14,-0.04390582155098677,-0.16096619245648625,-0.03902012363516649,0.91007095630772,0.8710508326725535
max_base,rssi,8,0.413950859992506,0.2920464915380713,-0.040634789484811584,0.91007095630772,0.8694361668229084
max_base,singletons,13,0.018176209853875358,-0.0014112773112945343,-0.006529162388389964,0.91007095630772,0.90354179391933
max_base,subtype,16,0.0076047446790222795,-0.003757559485208617,-0.003787434721410299,0.91007095630772,0.9062835215863096
max_base,subwin,9,-0.010418626136068698,-0.012695197019648163,-0.000758856961193155,0.91007095630772,0.9093120993465268
max_base,unique,2,0.004104963534608541,0.0011621551441144407,-0.0009809361301647002,0.91007095630772,0.9090900201775552
max_base,up,7,-0.018982474723720277,-0.0376902340062244,-0.006235919760834707,0.91007095630772,0.9038350365468852
best_base_src,burst,7,-0.025977098112460406,-0.032632373789504565,-0.0022184252256813863,0.8983436381527579,0.8961252129270765
best_base_src,down,6,-0.004993199140568949,-0.02304501782307522,-0.006017272894168757,0.8983436381527579,0.8923263652585891
best_base_src,interarrival,12,0.035115918380323796,-0.008572469013539363,-0.014562795797954387,0.8983436381527579,0.8837808423548035
best_base_src,len,14,-0.07467291506337781,-0.16333580503824785,-0.029554296658290014,0.8983436381527579,0.8687893414944678
best_base_src,rssi,8,0.38298871916876587,0.29626630517921737,-0.0289074713298495,0.8983436381527579,0.8694361668229084
best_base_src,singletons,13,-0.01065743911705963,0.00018271540587622148,0.0036133848409786173,0.8983436381527579,0.9019570229937365
best_base_src,subtype,16,-0.00014401249636197822,-0.008918393222390408,-0.00292479357534281,0.8983436381527579,0.895418844577415
best_base_src,subwin,9,-0.022321569118910256,-0.006137141816621727,0.005394809100762843,0.8983436381527579,0.9037384472535207
best_base_src,unique,2,0.014952760372819784,0.0006946823322069307,-0.004752692680204285,0.8983436381527579,0.8935909454725536
best_base_src,up,7,-0.0226607380946372,-0.0401110465597071,-0.005816769488356632,0.8983436381527579,0.8925268686644012
