,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,353,29,0,8,0
Light_T1,1,270,25,69,0
Light_XM,0,271,8,89,0
Sensor,0,37,0,325,0
Socket,0,0,0,0,368
