,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,331,1,0,3,0
Light_T1,0,281,23,23,0
Light_XM,2,49,264,16,0
Sensor,0,19,28,280,0
Socket,0,0,0,0,332
