,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,316,0,1,45,0
Light_T1,3,166,130,64,0
Light_XM,1,25,289,50,0
Sensor,0,98,14,251,0
Socket,0,0,0,0,363
