task,baseline_f1,coral_f1,delta_f1,cov_reduction_pct
R2-R3→R4,0.6592117370350504,0.2830473165057591,-0.37616442052929133,-479.63096341241913
R2-R4→R3,0.6148161314237031,0.3292380643620497,-0.28557806706165334,-886.6434822784495
R3-R4→R2,0.8097991283932819,0.33910573374601977,-0.4706933946472622,-113.24443029865718
