class,wasserstein,mmd,ks_stat
Camera,0.004848484848484836,0.02681019383303116,0.004848484848484849
Light_T1,0.3335169880624426,1.8266187088539183,0.3335169880624426
Light_XM,0.09286359530261969,0.46592988641205885,0.09286359530261969
Sensor,0.33119266055045876,1.8779383532646965,0.33119266055045876
Socket,0.00353982300884956,0.027984758054587448,0.0035398230088495575
