,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,358,0,7,0,0
Light_T1,2,10,278,71,2
Light_XM,41,34,294,0,0
Sensor,52,160,144,7,1
Socket,0,0,0,0,376
