,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,355,29,7,8,0
Light_T1,13,229,124,28,0
Light_XM,5,267,109,14,0
Sensor,13,234,10,148,0
Socket,0,0,0,0,395
