,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,384,8,1,5,0
Light_T1,1,4,369,22,0
Light_XM,1,4,360,29,0
Sensor,18,7,73,301,0
Socket,0,0,0,0,406
