,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,299,1,44,19,0
Light_T1,12,53,162,138,0
Light_XM,1,33,321,8,0
Sensor,3,133,13,213,0
Socket,0,0,0,0,363
