,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,251,0,86,26,0
Light_T1,3,7,269,86,0
Light_XM,2,304,53,4,0
Sensor,5,240,21,96,0
Socket,0,0,2,0,361
