,precision,recall,f1-score,support
Camera,0.9970588235294118,0.8692307692307693,0.9287671232876712,390.0
Light_T1,0.4264705882352941,0.7150684931506849,0.534288638689867,365.0
Light_XM,0.2857142857142857,0.016304347826086956,0.030848329048843187,368.0
Sensor,0.6281800391389433,0.8867403314917127,0.7353951890034365,362.0
Socket,0.994579945799458,0.9972826086956522,0.9959294436906377,368.0
accuracy,0.6983270372369131,0.6983270372369131,0.6983270372369131,0.6983270372369131
macro avg,0.6664007364834786,0.6969253100789812,0.6450457447440912,1853.0
weighted avg,0.6708387249043217,0.6983270372369131,0.6483010307562689,1853.0
