,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,361,22,1,15,0
Light_T1,2,219,128,45,0
Light_XM,0,49,297,49,0
Sensor,3,23,57,322,0
Socket,0,0,0,0,395
