task,seed,arm,oof_mode,cv_requested,folds_effective,b_folds_effective,aprime_aligned_with_b,n_train_rounds,b_split_basis,stacking_f1,best_base_model,best_base_f1,gain_absolute,base_f1_rf,base_f1_xgboost,base_f1_lightgbm,n_sources,target_env,grid_kind
g0_R3_R5_to_R4,42,A,random,5,5,2,,2,round_group,0.5059879181144631,rf,0.5201454527612681,-0.014157534646805026,0.5201454527612681,0.49675290859330523,0.504637068815153,2,R4,ood
g0_R3_R5_to_R4,42,A_prime,random,2,2,2,True,2,round_group,0.5086302165714388,rf,0.5201454527612681,-0.011515236189829303,0.5201454527612681,0.49675290859330523,0.504637068815153,2,R4,ood
g0_R3_R5_to_R4,42,B,grouped,5,2,2,,2,round_group,0.667164734194938,rf,0.5201454527612681,0.14701928143366993,0.5201454527612681,0.49675290859330523,0.504637068815153,2,R4,ood
g0_R5_R6_to_R4,42,A,random,5,5,2,,2,round_group,0.7925820762866245,lightgbm,0.8085813525203891,-0.015999276233764625,0.7790002562519555,0.786887742449454,0.8085813525203891,2,R4,ood
g0_R5_R6_to_R4,42,A_prime,random,2,2,2,True,2,round_group,0.7965176749326941,lightgbm,0.8085813525203891,-0.012063677587694999,0.7790002562519555,0.786887742449454,0.8085813525203891,2,R4,ood
g0_R5_R6_to_R4,42,B,grouped,5,2,2,,2,round_group,0.6670418323515405,lightgbm,0.8085813525203891,-0.14153952016884863,0.7790002562519555,0.786887742449454,0.8085813525203891,2,R4,ood
g0_R2_R3_R5_to_R4,42,A,random,5,5,3,,3,round_group,0.705028594433285,lightgbm,0.7066994993771257,-0.0016709049438407009,0.6972893016537488,0.7060909217774151,0.7066994993771257,3,R4,ood
g0_R2_R3_R5_to_R4,42,A_prime,random,3,3,3,True,3,round_group,0.702260120725897,lightgbm,0.7066994993771257,-0.004439378651228676,0.6972893016537488,0.7060909217774151,0.7066994993771257,3,R4,ood
g0_R2_R3_R5_to_R4,42,B,grouped,5,3,3,,3,round_group,0.47461343317046917,lightgbm,0.7066994993771257,-0.23208606620665656,0.6972893016537488,0.7060909217774151,0.7066994993771257,3,R4,ood
g0_R2_R5_R6_to_R4,42,A,random,5,5,3,,3,round_group,0.836721342171756,xgboost,0.8363410772554793,0.00038026491627662917,0.8352313653335163,0.8363410772554793,0.8243324087577889,3,R4,ood
g0_R2_R5_R6_to_R4,42,A_prime,random,3,3,3,True,3,round_group,0.8394222843554349,xgboost,0.8363410772554793,0.0030812070999555186,0.8352313653335163,0.8363410772554793,0.8243324087577889,3,R4,ood
g0_R2_R5_R6_to_R4,42,B,grouped,5,3,3,,3,round_group,0.731916961427629,xgboost,0.8363410772554793,-0.10442411582785038,0.8352313653335163,0.8363410772554793,0.8243324087577889,3,R4,ood
g0_R3_R5_R6_to_R4,42,A,random,5,5,3,,3,round_group,0.6762465725125508,rf,0.7776659133154694,-0.10141934080291859,0.7776659133154694,0.6156653873805294,0.6477230614741002,3,R4,ood
