,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,707,18,45,27,0
Light_T1,5,465,272,48,0
Light_XM,1,110,628,50,0
Sensor,9,94,201,500,0
Socket,0,0,0,0,801
