,precision,recall,f1-score,support
Camera,0.9761194029850746,0.8195488721804511,0.8910081743869209,399.0
Light_T1,0.0,0.0,0.0,394.0
Light_XM,0.34766697163769444,0.9620253164556962,0.510752688172043,395.0
Sensor,0.8109756097560976,0.32839506172839505,0.46748681898066785,405.0
Socket,1.0,1.0,1.0,395.0
accuracy,0.6212273641851107,0.6212273641851107,0.6212273641851107,0.6212273641851107
macro avg,0.6269523968757733,0.6219938500729085,0.5738495363079263,1988.0
weighted avg,0.6288959846776426,0.6212273641851107,0.5742413154403968,1988.0
