m1,m2,inner_mean,u_inner_to_R2,u_inner_to_R3,u_inner_to_R4
rf,xgboost,0.8452287557669699,0.8710095330412079,0.8580405385168568,0.806636195742845
rf,lightgbm,0.8438439781074721,0.8725577667307374,0.8573797921084372,0.8015943754832421
lightgbm,xgboost,0.8404425618761668,0.8606611509122469,0.8486997830931701,0.8119667516230835
xgboost,xgboost,0.8404381350582942,0.8605036587035354,0.8487953772670946,0.8120153692042527
xgboost,lightgbm,0.8391446829831853,0.8619647532012908,0.848508607595732,0.8069606881525331
lightgbm,lightgbm,0.8390220081048341,0.8621318000884564,0.8479639266287828,0.8069702975972628
rf,rf,0.8352203295946562,0.8541491654899451,0.8438336846363297,0.8076781386576938
lightgbm,rf,0.8306026775230335,0.8440613167267544,0.834735779432463,0.8130109364098832
xgboost,rf,0.8303187545711522,0.843928232996603,0.8337788983227965,0.8132491323940568
