unit,arm,model,seed,macro_f1,f1_Camera,f1_Light_T1,f1_Light_XM,f1_Sensor,f1_Socket,dev_N1,dev_N6,dev_N30,stage1_acc
inner_to_R2,flat_full94,rf,42,0.8097991283932819,0.9464544138929089,0.6501457725947521,0.7657894736842106,0.6866059817945384,1.0,0.8097991283932819,0.9470675770308123,1.0,
inner_to_R2,flat_full94,xgboost,42,0.7752091537055984,0.9466089466089466,0.5154975530179445,0.7480916030534351,0.6658476658476659,1.0,0.7752091537055984,0.8769447572843572,0.8893772893772894,
inner_to_R2,flat_full94,lightgbm,42,0.7934265218076193,0.9572649572649573,0.5414012738853503,0.7630208333333334,0.7054455445544554,1.0,0.7934265218076193,0.9011306042884991,0.909761583445794,
inner_to_R2,flat_drop_rssi,rf,42,0.7236993864437556,0.5047438330170778,0.6933333333333334,0.6251441753171857,0.7952755905511811,1.0,0.7236993864437556,0.850564781697803,0.8724857685009487,
inner_to_R2,flat_drop_rssi,xgboost,42,0.7641050881914407,0.6003490401396161,0.7374149659863946,0.6738609112709832,0.8089005235602095,1.0,0.7641050881914407,0.9172371776103848,0.9314285714285713,
inner_to_R2,flat_drop_rssi,lightgbm,42,0.7695565272276548,0.6116838487972509,0.7319727891156462,0.7031055900621118,0.8010204081632653,1.0,0.7695565272276548,0.9193759091061775,0.9833043478260869,
inner_to_R2,flat_full94,rf,43,0.81546326007283,0.9526542324246772,0.662807525325615,0.7686274509803922,0.6932270916334662,1.0,0.81546326007283,0.9504453119830609,1.0,
inner_to_R2,flat_full94,xgboost,43,0.7761869688759645,0.9481268011527377,0.5179153094462541,0.7490542244640606,0.6658385093167701,1.0,0.7761869688759645,0.8839002267573697,0.909761583445794,
inner_to_R2,flat_full94,lightgbm,43,0.7934265218076193,0.9572649572649573,0.5414012738853503,0.7630208333333334,0.7054455445544554,1.0,0.7934265218076193,0.9011306042884991,0.909761583445794,
inner_to_R2,flat_drop_rssi,rf,43,0.7321171867262886,0.5315985130111525,0.706199460916442,0.633177570093458,0.7896103896103897,1.0,0.7321171867262886,0.8887990012275182,0.9314285714285713,
