unit,arm,model,seed,device,n_win,true_share,runner_up_share,margin,mode_correct
inner_to_R2,flat_drop_rssi,xgboost,43,Camera,362,0.46685082872928174,0.32044198895027626,0.14640883977900548,1
inner_to_R2,flat_drop_rssi,xgboost,43,Light_T1,363,0.7520661157024794,0.1349862258953168,0.6170798898071626,1
inner_to_R2,flat_drop_rssi,xgboost,43,Light_XM,365,0.7780821917808219,0.13150684931506848,0.6465753424657534,1
inner_to_R2,flat_drop_rssi,xgboost,43,Sensor,363,0.8650137741046832,0.06336088154269973,0.8016528925619835,1
inner_to_R2,flat_drop_rssi,xgboost,43,Socket,363,1.0,0.0,1.0,1
inner_to_R2,flat_drop_rssi,lightgbm,43,Camera,362,0.49171270718232046,0.27071823204419887,0.2209944751381216,1
inner_to_R2,flat_drop_rssi,lightgbm,43,Light_T1,363,0.7410468319559229,0.10743801652892562,0.6336088154269973,1
inner_to_R2,flat_drop_rssi,lightgbm,43,Light_XM,365,0.7753424657534247,0.12054794520547946,0.6547945205479453,1
inner_to_R2,flat_drop_rssi,lightgbm,43,Sensor,363,0.8650137741046832,0.05785123966942149,0.8071625344352616,1
inner_to_R2,flat_drop_rssi,lightgbm,43,Socket,363,1.0,0.0,1.0,1
inner_to_R2,flat_full94,rf,44,Camera,362,0.9419889502762431,0.04696132596685083,0.8950276243093922,1
inner_to_R2,flat_full94,rf,44,Light_T1,363,0.6336088154269972,0.209366391184573,0.4242424242424242,1
inner_to_R2,flat_full94,rf,44,Light_XM,365,0.810958904109589,0.14246575342465753,0.6684931506849315,1
inner_to_R2,flat_full94,rf,44,Sensor,363,0.7272727272727273,0.23415977961432508,0.4931129476584022,1
inner_to_R2,flat_full94,rf,44,Socket,363,1.0,0.0,1.0,1
inner_to_R2,flat_full94,xgboost,44,Camera,362,0.914364640883978,0.08011049723756906,0.8342541436464089,1
inner_to_R2,flat_full94,xgboost,44,Light_T1,363,0.4490358126721763,0.29201101928374656,0.15702479338842973,1
inner_to_R2,flat_full94,xgboost,44,Light_XM,365,0.8082191780821918,0.13150684931506848,0.6767123287671233,1
inner_to_R2,flat_full94,xgboost,44,Sensor,363,0.7410468319559229,0.20110192837465565,0.5399449035812672,1
inner_to_R2,flat_full94,xgboost,44,Socket,363,1.0,0.0,1.0,1
inner_to_R2,flat_full94,lightgbm,44,Camera,362,0.9281767955801105,0.058011049723756904,0.8701657458563535,1
inner_to_R2,flat_full94,lightgbm,44,Light_T1,363,0.46831955922865015,0.2727272727272727,0.19559228650137744,1
inner_to_R2,flat_full94,lightgbm,44,Light_XM,365,0.8027397260273973,0.1095890410958904,0.6931506849315069,1
inner_to_R2,flat_full94,lightgbm,44,Sensor,363,0.7851239669421488,0.17079889807162535,0.6143250688705235,1
inner_to_R2,flat_full94,lightgbm,44,Socket,363,1.0,0.0,1.0,1
inner_to_R2,flat_drop_rssi,rf,44,Camera,362,0.3839779005524862,0.3867403314917127,-0.0027624309392265123,0
inner_to_R2,flat_drop_rssi,rf,44,Light_T1,363,0.7300275482093664,0.162534435261708,0.5674931129476585,1
inner_to_R2,flat_drop_rssi,rf,44,Light_XM,365,0.7479452054794521,0.18356164383561643,0.5643835616438356,1
inner_to_R2,flat_drop_rssi,rf,44,Sensor,363,0.8319559228650137,0.08539944903581267,0.7465564738292011,1
inner_to_R2,flat_drop_rssi,rf,44,Socket,363,1.0,0.0,1.0,1
inner_to_R2,flat_drop_rssi,xgboost,44,Camera,362,0.46685082872928174,0.3259668508287293,0.14088397790055246,1
inner_to_R2,flat_drop_rssi,xgboost,44,Light_T1,363,0.7603305785123967,0.12947658402203857,0.6308539944903582,1
inner_to_R2,flat_drop_rssi,xgboost,44,Light_XM,365,0.7890410958904109,0.1232876712328767,0.6657534246575343,1
inner_to_R2,flat_drop_rssi,xgboost,44,Sensor,363,0.8650137741046832,0.06611570247933884,0.7988980716253443,1
inner_to_R2,flat_drop_rssi,xgboost,44,Socket,363,1.0,0.0,1.0,1
inner_to_R2,flat_drop_rssi,lightgbm,44,Camera,362,0.49171270718232046,0.27071823204419887,0.2209944751381216,1
inner_to_R2,flat_drop_rssi,lightgbm,44,Light_T1,363,0.7410468319559229,0.10743801652892562,0.6336088154269973,1
inner_to_R2,flat_drop_rssi,lightgbm,44,Light_XM,365,0.7753424657534247,0.12054794520547946,0.6547945205479453,1
inner_to_R2,flat_drop_rssi,lightgbm,44,Sensor,363,0.8650137741046832,0.05785123966942149,0.8071625344352616,1
inner_to_R2,flat_drop_rssi,lightgbm,44,Socket,363,1.0,0.0,1.0,1
inner_to_R2,flat_full94,rf,45,Camera,362,0.93646408839779,0.049723756906077346,0.8867403314917127,1
inner_to_R2,flat_full94,rf,45,Light_T1,363,0.6363636363636364,0.1928374655647383,0.44352617079889806,1
inner_to_R2,flat_full94,rf,45,Light_XM,365,0.8082191780821918,0.14246575342465753,0.6657534246575343,1
inner_to_R2,flat_full94,rf,45,Sensor,363,0.7272727272727273,0.22865013774104684,0.4986225895316805,1
inner_to_R2,flat_full94,rf,45,Socket,363,1.0,0.0,1.0,1
inner_to_R2,flat_full94,xgboost,45,Camera,362,0.9060773480662984,0.09116022099447514,0.8149171270718232,1
inner_to_R2,flat_full94,xgboost,45,Light_T1,363,0.44352617079889806,0.2865013774104683,0.15702479338842973,1
inner_to_R2,flat_full94,xgboost,45,Light_XM,365,0.8027397260273973,0.13424657534246576,0.6684931506849315,1
inner_to_R2,flat_full94,xgboost,45,Sensor,363,0.7465564738292011,0.1928374655647383,0.5537190082644627,1
inner_to_R2,flat_full94,xgboost,45,Socket,363,1.0,0.0,1.0,1
inner_to_R2,flat_full94,lightgbm,45,Camera,362,0.9281767955801105,0.058011049723756904,0.8701657458563535,1
inner_to_R2,flat_full94,lightgbm,45,Light_T1,363,0.46831955922865015,0.2727272727272727,0.19559228650137744,1
inner_to_R2,flat_full94,lightgbm,45,Light_XM,365,0.8027397260273973,0.1095890410958904,0.6931506849315069,1
inner_to_R2,flat_full94,lightgbm,45,Sensor,363,0.7851239669421488,0.17079889807162535,0.6143250688705235,1
inner_to_R2,flat_full94,lightgbm,45,Socket,363,1.0,0.0,1.0,1
inner_to_R2,flat_drop_rssi,rf,45,Camera,362,0.3867403314917127,0.36464088397790057,0.022099447513812154,1
