unit,arm,seed,model,macro_f1,f1_Camera,f1_Light_T1,f1_Light_XM,f1_Sensor,f1_Socket,dev30_acc,n_blocks,n_overridden
jit_R6,flat_drop_rssi,42,lightgbm,0.7434294873428366,0.6710526315789473,0.621380846325167,0.6421052631578947,0.782608695652174,1.0,1.0,66,0
jit_R6,flat_drop_rssi,43,lightgbm,0.7434294873428366,0.6710526315789473,0.621380846325167,0.6421052631578947,0.782608695652174,1.0,1.0,66,0
jit_R6,flat_drop_rssi,44,lightgbm,0.7434294873428366,0.6710526315789473,0.621380846325167,0.6421052631578947,0.782608695652174,1.0,1.0,66,0
jit_R6,flat_drop_rssi,45,lightgbm,0.7434294873428366,0.6710526315789473,0.621380846325167,0.6421052631578947,0.782608695652174,1.0,1.0,66,0
jit_R6,flat_drop_rssi,46,lightgbm,0.7434294873428366,0.6710526315789473,0.621380846325167,0.6421052631578947,0.782608695652174,1.0,1.0,66,0
jit_R6,flat_full94,42,xgboost,0.7783647964241942,0.9024707412223667,0.6222791293213829,0.6547085201793722,0.7123655913978495,1.0,1.0,66,0
jit_R6,flat_full94,43,xgboost,0.7769578127010457,0.9064935064935065,0.6169665809768637,0.6557734204793029,0.7055555555555556,1.0,1.0,66,0
jit_R6,flat_full94,44,xgboost,0.7774190074750142,0.8952879581151832,0.6278481012658228,0.6487093153759821,0.7152496626180836,1.0,1.0,66,0
jit_R6,flat_full94,45,xgboost,0.7812458699608165,0.9033942558746736,0.6306306306306306,0.6502793296089385,0.7219251336898396,1.0,1.0,66,0
jit_R6,flat_full94,46,xgboost,0.7793861555088145,0.9031413612565445,0.6177215189873417,0.6546681664791901,0.721399730820996,1.0,1.0,66,0
jit_R6,override_anyfam_loose,42,xgboost,0.7634329923061778,0.8011363636363636,0.6770708283313326,0.5876887340301974,0.751269035532995,1.0,0.9848484848484849,66,1513
jit_R6,override_anyfam_loose,43,xgboost,0.7620348394280356,0.8185654008438819,0.6666666666666666,0.5879629629629629,0.7369791666666666,1.0,1.0,66,1519
jit_R6,override_anyfam_loose,44,xgboost,0.7596548132688872,0.7925608011444921,0.6698679471788715,0.5836216839677048,0.7522236340533672,1.0,0.9848484848484849,66,1528
jit_R6,override_anyfam_loose,45,xgboost,0.774466613239976,0.8473177441540578,0.6738868832731648,0.6097271648873073,0.7414012738853503,1.0,1.0,66,1527
