arm,f1_Camera,f1_Light_T1,f1_Light_XM,f1_Sensor,f1_Socket,macro_f1,dev30_acc,F_gw
override_gate3,0.9112500295847409,0.5986813473114289,0.6986780140402268,0.7377269951773987,1.0,0.7892672772227591,0.9491919191919193,0.6783621188430181
override_anyfam_loose,0.8774276051917255,0.5984650771495735,0.6864390130480327,0.7397745041565514,1.0,0.7804212399091767,0.9536363636363636,0.6748928647847192
flat_drop_rssi,0.7226452183137544,0.6334471860194391,0.735425342080926,0.7634050352462235,1.0,0.7709845563320686,0.9777777777777777,0.7107591877821963
flat_full94,0.9044301675327284,0.5325538984357432,0.6845553455641654,0.7086768818449339,1.0,0.7660432586755143,0.9344444444444445,0.6419287086149476
ovo_full94,0.8948374184198233,0.5150157050815403,0.6908197429990307,0.6974480760310524,1.0,0.7596241885062892,0.9333333333333333,0.6344278413705411
