unit,unit_type,config,model,seed,n_cols,win_macro_f1,dev_N6_macro_f1,dev_N6_n_blocks,dev_N30_macro_f1,dev_N30_n_blocks
pos_R5,outer,full94,xgboost,42,94,0.6603072409777727,0.694852303878094,304.0,0.7119815668202765,60.0
pos_R5,outer,full94,lightgbm,42,94,0.6583908067353137,0.6994959648853432,304.0,0.7117241379310345,60.0
pos_R5,outer,full94,stacking,42,94,0.7180085899308039,0.7791493042993677,304.0,0.7562864721485412,60.0
pos_R5,outer,full94,rf::Camera,42,94,0.8849557522123894,,,,
pos_R5,outer,full94,rf::Light_T1,42,94,0.2913907284768212,,,,
pos_R5,outer,full94,rf::Light_XM,42,94,0.681044267877412,,,,
pos_R5,outer,full94,rf::Sensor,42,94,0.648721399730821,,,,
pos_R5,outer,full94,rf::Socket,42,94,1.0,,,,
pos_R5,outer,full94,xgboost::Camera,42,94,0.9226441631504922,,,,
pos_R5,outer,full94,xgboost::Light_T1,42,94,0.09540636042402827,,,,
pos_R5,outer,full94,xgboost::Light_XM,42,94,0.7036199095022625,,,,
pos_R5,outer,full94,xgboost::Sensor,42,94,0.5798657718120805,,,,
pos_R5,outer,full94,xgboost::Socket,42,94,1.0,,,,
pos_R5,outer,full94,lightgbm::Camera,42,94,0.8625730994152047,,,,
pos_R5,outer,full94,lightgbm::Light_T1,42,94,0.14965986394557823,,,,
pos_R5,outer,full94,lightgbm::Light_XM,42,94,0.7060158910329172,,,,
pos_R5,outer,full94,lightgbm::Sensor,42,94,0.5737051792828686,,,,
pos_R5,outer,full94,lightgbm::Socket,42,94,1.0,,,,
pos_R5,outer,full94,stacking::Camera,42,94,0.9033189033189033,,,,
pos_R5,outer,full94,stacking::Light_T1,42,94,0.37105751391465674,,,,
pos_R5,outer,full94,stacking::Light_XM,42,94,0.676923076923077,,,,
pos_R5,outer,full94,stacking::Sensor,42,94,0.6387434554973822,,,,
pos_R5,outer,full94,stacking::Socket,42,94,1.0,,,,
jit_R6,outer,full94,rf,42,94,0.7488747806643499,0.9094232101795768,333.0,0.9690476190476189,66.0
jit_R6,outer,full94,xgboost,42,94,0.7783647964241942,0.9342857142857144,333.0,1.0,66.0
jit_R6,outer,full94,lightgbm,42,94,0.7640759809256255,0.8988112877184232,333.0,0.9690476190476189,66.0
jit_R6,outer,full94,stacking,42,94,0.6955971167332627,0.7964493489703574,333.0,0.854055829228243,66.0
jit_R6,outer,full94,rf::Camera,42,94,0.8159771754636234,,,,
jit_R6,outer,full94,rf::Light_T1,42,94,0.617169373549884,,,,
jit_R6,outer,full94,rf::Light_XM,42,94,0.6191780821917808,,,,
jit_R6,outer,full94,rf::Sensor,42,94,0.6920492721164614,,,,
jit_R6,outer,full94,rf::Socket,42,94,1.0,,,,
jit_R6,outer,full94,xgboost::Camera,42,94,0.9024707412223667,,,,
jit_R6,outer,full94,xgboost::Light_T1,42,94,0.6222791293213829,,,,
jit_R6,outer,full94,xgboost::Light_XM,42,94,0.6547085201793722,,,,
jit_R6,outer,full94,xgboost::Sensor,42,94,0.7123655913978495,,,,
jit_R6,outer,full94,xgboost::Socket,42,94,1.0,,,,
jit_R6,outer,full94,lightgbm::Camera,42,94,0.9057104913678619,,,,
jit_R6,outer,full94,lightgbm::Light_T1,42,94,0.5947441217150761,,,,
jit_R6,outer,full94,lightgbm::Light_XM,42,94,0.640625,,,,
jit_R6,outer,full94,lightgbm::Sensor,42,94,0.6793002915451894,,,,
jit_R6,outer,full94,lightgbm::Socket,42,94,1.0,,,,
jit_R6,outer,full94,stacking::Camera,42,94,0.897196261682243,,,,
jit_R6,outer,full94,stacking::Light_T1,42,94,0.37997432605905007,,,,
jit_R6,outer,full94,stacking::Light_XM,42,94,0.5333333333333333,,,,
jit_R6,outer,full94,stacking::Sensor,42,94,0.6674816625916871,,,,
jit_R6,outer,full94,stacking::Socket,42,94,1.0,,,,
jit_R7,outer,full94,rf,42,94,0.8219721259799911,0.9728552149604781,333.0,1.0,66.0
jit_R7,outer,full94,xgboost,42,94,0.8154367714214587,0.9606724637681159,333.0,1.0,66.0
jit_R7,outer,full94,lightgbm,42,94,0.8088477748505276,0.9367889416390183,333.0,1.0,66.0
jit_R7,outer,full94,stacking,42,94,0.7291714113522227,0.8000471376363525,333.0,0.7938738738738739,66.0
jit_R7,outer,full94,rf::Camera,42,94,0.94750656167979,,,,
jit_R7,outer,full94,rf::Light_T1,42,94,0.6873508353221957,,,,
