,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,298,0,46,19,0
Light_T1,28,41,154,142,0
Light_XM,1,34,323,5,0
Sensor,3,129,16,214,0
Socket,0,0,0,0,363
