,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,718,18,40,21,0
Light_T1,8,483,260,39,0
Light_XM,3,83,664,39,0
Sensor,12,97,226,469,0
Socket,0,0,0,0,801
