model,Display,Params,IID,OOD,OOD_Drop,CPD,delta_iid_vs_v3,delta_ood_vs_v3,relation_vs_v3
cnn1d_v3,CNN-v3,1012154.0,0.9310126140102172,0.5858679978829388,0.3451446161272784,0.8496870086494035,0.0,0.0,same_direction_or_tie
cnn1d_v5,CNN-v5,1225296.0,0.9199211188133631,0.5876806444676183,0.3322404743457449,0.8361809165994485,-0.01109149519685404,0.0018126465846795004,IID_lower_OOD_higher
cnn1d_inception,CNN-Inception,763092.0,0.9176722063474351,0.5996926090318425,0.31797959731559255,0.8225863596979457,-0.013340407662782106,0.013824611148903765,IID_lower_OOD_higher
cnn1d_tcn,CNN-TCN,814854.0,0.9296874053184739,0.6019654618769478,0.32772194344152616,0.8177004007014693,-0.0013252086917432404,0.01609746399400902,IID_lower_OOD_higher
cnn1d_convnext,CNN-ConvNeXt,1079570.0,0.9207799510780674,0.5868799266258878,0.3339000244521796,0.8152057492268108,-0.01023266293214975,0.0010119287429490864,IID_lower_OOD_higher
