,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,398,127,62,197,13
Light_T1,76,348,175,189,2
Light_XM,95,354,204,135,1
Sensor,71,153,83,487,10
Socket,0,0,0,1,800
