,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,117,0,0,0,0
Light_T1,1,102,2,5,0
Light_XM,0,13,91,6,0
Sensor,0,22,2,84,1
Socket,0,0,0,0,110
