,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,328,0,16,19,0
Light_T1,15,27,184,139,0
Light_XM,1,42,311,9,0
Sensor,4,132,10,216,0
Socket,0,0,0,0,363
