window_start,window_id,round,oof_rf_Camera,oof_rf_Light_T1,oof_rf_Light_XM,oof_rf_Sensor,oof_rf_Socket,oof_xgboost_Camera,oof_xgboost_Light_T1,oof_xgboost_Light_XM,oof_xgboost_Sensor,oof_xgboost_Socket,oof_lightgbm_Camera,oof_lightgbm_Light_T1,oof_lightgbm_Light_XM,oof_lightgbm_Sensor,oof_lightgbm_Socket,true_label
1163.8723833560944,116,R5,0.006,0.012,0.576,0.404,0.002,0.0015770882600918412,0.002161653945222497,0.8828766942024231,0.11007904261350632,0.0033054999075829983,3.689471489944664e-06,6.875055934327721e-06,0.9991411690514749,0.0008331825083070114,1.5083912793763973e-05,Light_XM
784.8796033859253,78,R5,0.056,0.792,0.096,0.056,0.0,0.0007425543153658509,0.9971736669540405,0.0013392785331234336,0.00021561926405411214,0.0005289092077873647,9.828849056717231e-08,0.9999970728798966,2.5592474669237267e-06,2.910770232854311e-08,2.404764437263472e-07,Light_T1
721.6638760566711,72,R5,0.008,0.986,0.002,0.002,0.002,0.00016981236694846302,0.9995749592781067,6.529833626700565e-05,6.965071952436119e-05,0.00012033613165840507,2.976534064235104e-08,0.9999998631676547,2.6944594351084605e-08,2.1964828298930732e-08,5.815758202549781e-08,Light_T1
2482.484018087387,248,R5,0.932,0.032,0.002,0.034,0.0,0.9982492923736572,0.0014720539329573512,6.055507037672214e-05,8.788287959760055e-05,0.00013018866593483835,0.9999903282120509,9.58088718056424e-06,1.1743970671811038e-08,2.6083270016173382e-08,5.3073528148988375e-08,Camera
2770.323920488357,277,R5,0.948,0.046,0.0,0.0,0.006,0.9990884065628052,0.00015598998288623989,0.000320694874972105,9.524261258775368e-05,0.0003396347747184336,0.9999997985632928,1.079863996786363e-08,6.469863147455663e-08,6.2005598008938976e-09,1.19738875927605e-07,Camera
3270.882617235184,327,R5,0.0,0.0,0.0,0.0,1.0,0.0004084855318069458,0.00033881355193443596,0.00015123675984796137,8.011636236915365e-05,0.9990212917327881,3.562188601475263e-07,1.8514793967409069e-07,5.6604051519680007e-08,1.0469012369304193e-08,0.9999993915601362,Socket
2242.241950750351,224,R5,0.87,0.08,0.0,0.05,0.0,0.9973642230033875,0.0021149434614926577,0.00014121564163360745,0.0001532023452455178,0.00022642206749878824,0.9999607335105596,3.885222723475981e-05,5.8463100473271815e-08,1.2378763264713927e-07,2.3201147222464263e-07,Camera
1901.9265468120573,190,R5,0.004,0.002,0.0,0.0,0.994,0.0011066293809562922,0.00025021526380442083,0.00015711681044194847,6.114049028838053e-05,0.9984248876571655,1.126677819316274e-06,1.7460306533067964e-07,6.601701324690311e-08,6.085802848526276e-09,0.9999986266162991,Socket
1340.9627177715302,134,R5,0.0,0.0,0.0,0.0,1.0,0.00024131634563673288,0.00042807296267710626,0.0001161974505521357,7.510582508984953e-05,0.9991393089294434,6.271157049102444e-08,5.5364458388253485e-08,3.4378688011625977e-08,1.174236031260166e-08,0.9999998358029228,Socket
330.6141486167908,33,R5,0.02,0.938,0.008,0.016,0.018,0.0006916263955645263,0.9985769987106323,0.0002330510033061728,0.000158782146172598,0.0003395870444364846,4.626592888984421e-07,0.9999988457138619,3.8511514515945497e-07,3.688776329509618e-08,2.6962394078881436e-07,Light_T1
