,precision,recall,f1-score,support
Camera,0.9185667752442996,0.7768595041322314,0.8417910447761194,363.0
Light_T1,0.0165016501650165,0.0136986301369863,0.014970059880239521,365.0
Light_XM,0.3616600790513834,0.5041322314049587,0.42117376294591485,363.0
Sensor,0.5637982195845698,0.5248618784530387,0.5436337625178826,362.0
Socket,1.0,1.0,1.0,363.0
accuracy,0.5633259911894273,0.5633259911894273,0.5633259911894273,0.5633259911894273
macro avg,0.5721053448090538,0.5639104488254431,0.5643137260240312,1816.0
weighted avg,0.571498020875098,0.5633259911894273,0.5637201096315305,1816.0
