,precision,recall,f1-score,support
Camera,0.9035812672176309,0.8986301369863013,0.9010989010989011,365.0
Light_T1,0.5432098765432098,0.48484848484848486,0.512372634643377,363.0
Light_XM,0.6485714285714286,0.6151761517615176,0.631432545201669,369.0
Sensor,0.6808510638297872,0.7912087912087912,0.7318932655654383,364.0
Socket,0.9973474801061007,1.0,0.99867197875166,376.0
accuracy,0.7593903102885139,0.7593903102885139,0.7593903102885139,0.7593903102885139
macro avg,0.7547122232536314,0.757972712961019,0.7550938650522091,1837.0
weighted avg,0.756204488087324,0.7593903102885139,0.7565600365446404,1837.0
