,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,332,2,1,0,0
Light_T1,0,301,9,17,0
Light_XM,2,23,296,10,0
Sensor,2,14,13,298,0
Socket,0,0,0,0,332
