,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,369,10,0,11,0
Light_T1,0,293,9,63,0
Light_XM,0,303,2,63,0
Sensor,0,48,0,313,1
Socket,0,0,0,0,368
