,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,274,4,73,12,0
Light_T1,3,8,353,1,0
Light_XM,12,74,260,17,0
Sensor,15,133,64,148,2
Socket,36,5,0,0,322
