,precision,recall,f1-score,support
Camera,0.9825581395348837,0.9260273972602739,0.9534555712270804,365.0
Light_T1,0.43759398496240604,0.8016528925619835,0.566147859922179,363.0
Light_XM,0.6903669724770642,0.8157181571815718,0.7478260869565218,369.0
Sensor,0.0,0.0,0.0,364.0
Socket,0.9973474801061007,1.0,0.99867197875166,376.0
accuracy,0.7109417528579205,0.7109417528579205,0.7109417528579205,0.7109417528579205
macro avg,0.621573315416091,0.7086796894007659,0.6532202993714883,1837.0
weighted avg,0.6245119231548811,0.7109417528579205,0.6559452622467152,1837.0
