filter_mode,task,feature_set,model,accuracy_old,precision_old,recall_old,macro_f1_old,accuracy_new,precision_new,recall_new,macro_f1_new,_merge,accuracy_diff,precision_diff,recall_diff,macro_f1_diff,max_abs_metric_diff
raw_all,loro_R2_R3_to_R4,selected_features,lightgbm,0.7242309767943875,0.6734655997360172,0.7231124955819921,0.6687733342472788,0.7177549919050189,0.6529599590001072,0.7166775038113624,0.6619661562407677,both,-0.0064759848893686245,-0.02050564073590999,-0.006434991770629672,-0.006807178006511094,0.02050564073590999
raw_all,loro_R3_R4_to_R2,selected_features,lightgbm,0.7890969162995595,0.7941079186234548,0.7891342089631653,0.786876144469894,0.8001101321585903,0.8007835956358628,0.8001990276293132,0.796357169721555,both,0.011013215859030812,0.00667567701240801,0.011064818666147835,0.009481025251661057,0.011064818666147835
raw_all,jitter_R2_R3_R4_to_R6,selected_features,lightgbm,0.7494969818913481,0.7828344587902689,0.7499668338100923,0.7545339195500207,0.7404426559356136,0.776155669851036,0.7408337246456448,0.7442637587406203,both,-0.00905432595573441,-0.006678788939232905,-0.00913310916444754,-0.010270160809400353,0.010270160809400353
raw_all,position_R2_R3_R4_to_R5,selected_features,lightgbm,0.6745594713656388,0.6444132309250424,0.6751632491500252,0.6506896104581253,0.6657488986784141,0.6378293997187311,0.6663522630583996,0.6410335943648059,both,-0.008810572687224627,-0.006583831206311341,-0.008810986091625672,-0.009656016093319453,0.009656016093319453
raw_all,single_round_R2,selected_features,lightgbm,0.943119266055046,0.94304505229284,0.943119266055046,0.94292706752672,0.9339449541284404,0.933678844519966,0.9339449541284404,0.9337899543378996,both,-0.009174311926605672,-0.009366207772874002,-0.009174311926605672,-0.009137113188820378,0.009366207772874002
raw_all,loro_R3_R4_to_R2,selected_features,stacking,0.7946035242290749,0.7982214030815598,0.7946605928421359,0.7917887625136726,0.802863436123348,0.8039128892702193,0.8029342376935311,0.798740394329626,both,0.008259911894273109,0.005691486188659556,0.008273644851395257,0.006951631815953374,0.008273644851395257
raw_all,single_round_R4,selected_features,lightgbm,0.9496402877697842,0.9497834542704756,0.9488907422852376,0.94900928989977,0.9424460431654677,0.9429525418023048,0.9416013344453712,0.9417879302563226,both,-0.007194244604316502,-0.006830912468170802,-0.007289407839866424,-0.007221359643447389,0.007289407839866424
raw_all,loro_R3_R4_to_R2,all_features,stacking,0.7935022026431718,0.7965124273989643,0.7935753314156127,0.7905353668369289,0.7990088105726872,0.8004978080955023,0.7990925832914784,0.7956733166605012,both,0.005506607929515406,0.003985380696537977,0.005517251875865714,0.0051379498235722965,0.005517251875865714
raw_all,position_R2_R3_R4_to_R5,all_features,lightgbm,0.676762114537445,0.6538256600420876,0.6773309031363427,0.6583908067353137,0.6822687224669604,0.6532852949792357,0.6828465579541311,0.6594293995680399,both,0.005506607929515406,-0.000540365062851933,0.0055156548177883735,0.0010385928327262262,0.0055156548177883735
raw_all,jitter_R2_R3_R4_to_R7,selected_features,lightgbm,0.8083291520321124,0.8197739171652672,0.8074683115957481,0.8090841891410658,0.8098344204716508,0.824492328829816,0.8090065107183158,0.8108054370367362,both,0.0015052684395383542,0.004718411664548894,0.001538199122567696,0.001721247895670408,0.004718411664548894
raw_all,position_R2_R3_R4_to_R5,all_features,stacking,0.6833700440528634,0.6679410442215727,0.6839016545813571,0.6678293830376971,0.6877753303964758,0.6696103896103895,0.6883184500447113,0.6699683223453546,both,0.004405286343612369,0.0016693453888168008,0.004416795463354162,0.002138939307657517,0.004416795463354162
raw_all,loro_R2_R4_to_R3,selected_features,lightgbm,0.5939031028851388,0.4861008589094794,0.589908046844535,0.5206691845372988,0.5895481763745237,0.4881154256120685,0.5855779349756205,0.5195460784007243,both,-0.004354926510615087,0.0020145667025890934,-0.004330111868914521,-0.0011231061365745143,0.004354926510615087
raw_all,position_R2_R3_R4_to_R5,selected_features,stacking,0.6591409691629956,0.6310694978857632,0.6597754986688751,0.6364689000576801,0.6596916299559471,0.6354032488077714,0.6603143869288093,0.6379308645898858,both,0.0005506607929515184,0.004333750922008273,0.0005388882599342004,0.0014619645322057062,0.004333750922008273
raw_all,jitter_R2_R3_R4_to_R7,all_features,lightgbm,0.809332664325138,0.8256780028221676,0.8086142507793912,0.8088477748505276,0.8133467134972403,0.829217245184739,0.8126370237686906,0.8128590947326917,both,0.004014049172102352,0.0035392423625714153,0.004022772989299428,0.004011319882164077,0.004022772989299428
raw_all,jitter_R2_R3_R4_to_R6_R7,selected_features,lightgbm,0.7789500125596583,0.8008146582250033,0.7787037824841565,0.7818831903474408,0.7751821150464707,0.8003307763920645,0.7749175155789535,0.7778743547987902,both,-0.0037678975131876236,-0.00048388183293879283,-0.0037862669052030062,-0.004008835548650613,0.004008835548650613
raw_all,loro_R2_R3_to_R4,all_features,lightgbm,0.7155963302752294,0.6946384818884819,0.7141653803924904,0.6661799166983895,0.7155963302752294,0.690632146621736,0.7140951310071726,0.6664534949734986,both,0.0,-0.004006335266745875,-7.02493853178554e-05,0.0002735782751090987,0.004006335266745875
raw_all,single_round_R2,selected_features,stacking,0.943119266055046,0.9435786714492652,0.943119266055046,0.9431971268410684,0.9394495412844036,0.9398165700909475,0.9394495412844036,0.9393642214554304,both,-0.003669724770642424,-0.003762101358317671,-0.003669724770642424,-0.0038329053856379636,0.0038329053856379636
raw_all,jitter_R2_R3_R4_to_R7,selected_features,stacking,0.8098344204716508,0.818903112734308,0.8089617579461938,0.8109290591417523,0.8133467134972403,0.8227234486643871,0.8124972593933751,0.8142980150167354,both,0.00351229302558953,0.003820335930079022,0.0035355014471812884,0.003368955874983093,0.003820335930079022
raw_all,single_round_R3,selected_features,lightgbm,0.9565217391304348,0.9569337194337194,0.9564404909164186,0.9566487811694828,0.960144927536232,0.9605212355212356,0.9600771551035414,0.9602606849607586,both,0.0036231884057972286,0.003587516087516174,0.003636664187122829,0.003611903791275739,0.003636664187122829
raw_all,single_round_R3,selected_features,stacking,0.9565217391304348,0.9565765765765764,0.9563767103216644,0.9564540965346768,0.960144927536232,0.9601965601965604,0.9600133745087872,0.9600822331039895,both,0.0036231884057972286,0.0036199836199840574,0.003636664187122829,0.003628136569312712,0.003636664187122829
raw_all,loro_R2_R3_to_R4,all_features,stacking,0.7134376686454398,0.7083907831006642,0.7121536899784772,0.6633973775317822,0.715056664867782,0.7051160028775237,0.7136875364968168,0.6643798257171675,both,0.0016189962223421839,-0.0032747802231404277,0.0015338465183396544,0.0009824481853852873,0.0032747802231404277
raw_all,jitter_R2_R3_R4_to_R6_R7,all_features,lightgbm,0.7849786485807586,0.8095740935066738,0.7849361825198385,0.7867283612645614,0.787490580256217,0.812379876729743,0.7874351283260149,0.7890191362647092,both,0.0025119316754583787,0.002805783223069236,0.002498945806176378,0.002290775000147849,0.002805783223069236
raw_all,loro_R2_R3_to_R4,selected_features,stacking,0.7177549919050189,0.6493881125678997,0.7167203592269733,0.6602035230921506,0.7161359956826767,0.6465897153496176,0.7151116483031938,0.6589454675896377,both,-0.0016189962223421839,-0.0027983972182821226,-0.001608710923779455,-0.0012580555025129003,0.0027983972182821226
raw_all,jitter_R2_R3_R4_to_R6_R7,selected_features,stacking,0.7822155237377544,0.7968339729964535,0.7819052378621699,0.7852135270506653,0.7837226827430294,0.7993432574174614,0.7834063547927982,0.786495379511012,both,0.0015071590052749828,0.00250928442100784,0.0015011169306282657,0.001281852460346733,0.00250928442100784
raw_all,jitter_R2_R3_R4_to_R6,all_features,lightgbm,0.7605633802816901,0.793483282131859,0.7612020518954531,0.7640759809256255,0.761569416498994,0.7957449888697264,0.762189641800437,0.7645904906531967,both,0.001006036217303885,0.0022617067378674083,0.000987589904983932,0.0005145097275712773,0.0022617067378674083
raw_all,loro_R2_R4_to_R3,all_features,lightgbm,0.6015242242787153,0.5428496997672634,0.5978615576595712,0.552736123006713,0.5993467610234078,0.5430674842002889,0.595718898643298,0.5524779671371125,both,-0.0021774632553075435,0.0002177844330255585,-0.002142659016273196,-0.0002581558696005404,0.0021774632553075435
raw_all,loro_R2_R4_to_R3,selected_features,stacking,0.5868263473053892,0.4873988087835832,0.5828171825474623,0.5203885131443082,0.5846488840500816,0.4868570008443041,0.5806491608672455,0.5196976733006422,both,-0.0021774632553075435,-0.0005418079392791042,-0.0021680216802167918,-0.0006908398436660246,0.0021774632553075435
raw_all,single_round_R4,selected_features,stacking,0.9496402877697842,0.9502189219876638,0.9488907422852376,0.9490597457802206,0.9514388489208632,0.9523048618493852,0.9507089241034196,0.9508937376120038,both,0.0017985611510790145,0.002085939861721453,0.001818181818181941,0.0018339918317832327,0.002085939861721453
raw_all,jitter_R2_R3_R4_to_R7,all_features,stacking,0.8198695434019067,0.8284840626461291,0.8190767563215562,0.8204439830298785,0.8178625188158555,0.8264497701997134,0.8170526605491304,0.8184813189414575,both,-0.002007024586051176,-0.00203429244641562,-0.0020240957724257935,-0.001962664088421051,0.00203429244641562
raw_all,joint_R2_R3_R4,selected_features,lightgbm,0.9437046004842616,0.94364242383715,0.9434217752392172,0.9433992390188412,0.9455205811138014,0.9455248611071368,0.9452786346821286,0.9452535290168642,both,0.001815980629539804,0.0018824372699868253,0.0018568594429113627,0.001854289998023062,0.0018824372699868253
raw_all,single_round_R2,all_features,lightgbm,0.9541284403669724,0.954187934064095,0.9541284403669724,0.9538573330267802,0.9559633027522936,0.9559118186835344,0.9559633027522936,0.9557204889280362,both,0.0018348623853211565,0.0017238846194393975,0.0018348623853211565,0.001863155901255964,0.001863155901255964
raw_all,joint_R2_R3_R4,selected_features,stacking,0.943099273607748,0.9432435266769096,0.9428323280076792,0.9428083088904844,0.9449152542372882,0.944870741155036,0.9446524080172876,0.9446159313056534,both,0.001815980629540137,0.0016272144781264153,0.0018200800096083158,0.0018076224151689635,0.0018200800096083158
raw_all,single_round_R3,all_features,lightgbm,0.9637681159420288,0.9641075164976662,0.963680758707145,0.9638413087408312,0.9619565217391304,0.9623008849557522,0.9618789569053432,0.962051532941944,both,-0.0018115942028984477,-0.0018066315419140722,-0.0018018018018017834,-0.001789775798887172,0.0018115942028984477
