,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,640,14,101,42,0
Light_T1,5,301,439,45,0
Light_XM,0,149,610,30,0
Sensor,2,87,449,266,0
Socket,0,0,0,0,801
