,precision,recall,f1-score,support
Camera,0.9944289693593314,0.9780821917808219,0.9861878453038674,365.0
Light_T1,0.2765647743813683,0.5234159779614325,0.3619047619047619,363.0
Light_XM,0.23204419889502761,0.11382113821138211,0.15272727272727274,369.0
Sensor,0.8240343347639485,0.5274725274725275,0.6432160804020101,364.0
Socket,0.9973474801061007,1.0,0.99867197875166,376.0
accuracy,0.6298312465977136,0.6298312465977136,0.6298312465977136,0.6298312465977136
macro avg,0.6648839515011553,0.6285583670852327,0.6285415878179144,1837.0
weighted avg,0.6662683977587529,0.6298312465977136,0.6300041769301359,1837.0
