,precision,recall,f1-score,support
Camera,0.9007444168734491,0.9945205479452055,0.9453125,365.0
Light_T1,0.1319796954314721,0.14325068870523416,0.13738441215323646,363.0
Light_XM,0.4973544973544973,0.7642276422764228,0.6025641025641025,369.0
Sensor,0.10416666666666667,0.027472527472527472,0.043478260869565216,364.0
Socket,0.9973474801061007,1.0,0.99867197875166,376.0
accuracy,0.5895481763745237,0.5895481763745237,0.5895481763745237,0.5895481763745237
macro avg,0.5263185512864372,0.585894281279878,0.5454822508677128,1837.0
weighted avg,0.5297351498697895,0.5895481763745237,0.5490378382824848,1837.0
