,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,330,1,2,29,0
Light_T1,1,162,109,91,0
Light_XM,2,24,293,46,0
Sensor,0,71,22,270,0
Socket,0,0,0,0,363
