family,d_auc_sum,n_pos_tasks,n_cols
rssi,5.1472458348179035,8,8
singletons,0.027424768256158666,5,13
subwin,0.01991468773167793,6,9
interarrival,-0.016160012035191025,5,12
subtype,-0.045200398565849696,2,16
time,-0.13290977653428138,2,10
up,-0.21840305284534942,0,7
dir,-0.22687344377652124,0,14
seq,-0.23114793863067215,0,9
down,-0.29360253644613227,0,6
len,-0.29923604940335924,0,14
unique,-0.3547012975977389,0,2
burst,-0.5951662737556995,0,7
