,precision,recall,f1-score,support
Camera,0.9909365558912386,0.9060773480662984,0.9466089466089466,362.0
Light_T1,0.632,0.43526170798898073,0.5154975530179445,363.0
Light_XM,0.6983372921615202,0.8054794520547945,0.7480916030534351,365.0
Sensor,0.6008869179600886,0.7465564738292011,0.6658476658476659,363.0
Socket,1.0,1.0,1.0,363.0
accuracy,0.7786343612334802,0.7786343612334802,0.7786343612334802,0.7786343612334802
macro avg,0.7844321532025695,0.778674996387855,0.7752091537055984,1816.0
weighted avg,0.784223621195537,0.7786343612334802,0.7750849054158364,1816.0
