,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,328,14,34,23,0
Light_T1,5,221,135,33,0
Light_XM,1,75,294,25,0
Sensor,5,56,82,262,0
Socket,0,0,0,0,395
