,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,117,0,0,3,0
Light_T1,0,70,30,18,0
Light_XM,2,38,45,33,0
Sensor,2,38,26,56,0
Socket,0,0,0,0,118
