,precision,recall,f1-score,support
Camera,1.0,1.0,1.0,109.0
Light_T1,0.9134615384615384,0.8715596330275229,0.892018779342723,109.0
Light_XM,0.8849557522123894,0.9174311926605505,0.9009009009009009,109.0
Sensor,0.990909090909091,1.0,0.9954337899543378,109.0
Socket,1.0,1.0,1.0,109.0
accuracy,0.9577981651376147,0.9577981651376147,0.9577981651376147,0.9577981651376147
macro avg,0.9578652763166037,0.9577981651376147,0.9576706940395923,545.0
weighted avg,0.9578652763166038,0.9577981651376147,0.9576706940395923,545.0
