,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,637,21,52,86,1
Light_T1,4,240,460,86,0
Light_XM,0,91,644,54,0
Sensor,2,59,304,439,0
Socket,0,0,0,0,801
