,precision,recall,f1-score,support
Camera,1.0,0.9908256880733946,0.9953917050691244,109.0
Light_T1,0.8737864077669902,0.8256880733944955,0.8490566037735849,109.0
Light_XM,0.8434782608695652,0.8899082568807339,0.8660714285714286,109.0
Sensor,0.9818181818181818,0.9908256880733946,0.9863013698630136,109.0
Socket,1.0,1.0,1.0,109.0
accuracy,0.9394495412844037,0.9394495412844037,0.9394495412844037,0.9394495412844037
macro avg,0.9398165700909475,0.9394495412844037,0.9393642214554305,545.0
weighted avg,0.9398165700909474,0.9394495412844037,0.9393642214554304,545.0
