,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,332,2,0,1,0
Light_T1,0,302,7,18,0
Light_XM,2,26,293,10,0
Sensor,1,13,14,299,0
Socket,0,0,0,0,332
