,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,189,0,126,47,0
Light_T1,0,5,214,144,0
Light_XM,0,4,309,52,0
Sensor,0,0,7,356,0
Socket,0,0,0,0,363
