,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,378,5,2,13,0
Light_T1,2,272,105,17,0
Light_XM,1,42,331,20,0
Sensor,2,53,110,234,0
Socket,0,0,0,0,406
