,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,324,3,2,33,0
Light_T1,2,170,93,98,0
Light_XM,0,35,295,35,0
Sensor,0,64,18,281,0
Socket,0,0,0,0,363
