,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,288,2,47,26,0
Light_T1,12,26,179,148,0
Light_XM,1,31,325,6,0
Sensor,2,130,23,207,0
Socket,0,0,0,0,363
