,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,364,1,0,0,0
Light_T1,1,59,207,96,0
Light_XM,8,112,248,1,0
Sensor,32,199,58,74,1
Socket,0,0,0,0,376
