,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,319,44,0,27,0
Light_T1,2,296,12,55,0
Light_XM,0,320,6,42,0
Sensor,1,66,3,292,0
Socket,0,0,0,0,368
