,precision,recall,f1-score,support
Camera,0.9602272727272727,0.8471177944862155,0.9001331557922769,399.0
Light_T1,0.6203208556149733,0.5888324873096447,0.6041666666666666,394.0
Light_XM,0.5628517823639775,0.759493670886076,0.646551724137931,395.0
Sensor,0.7904191616766467,0.6518518518518519,0.7144790257104194,405.0
Socket,1.0,1.0,1.0,395.0
accuracy,0.7691146881287726,0.7691146881287726,0.7691146881287726,0.7691146881287726
macro avg,0.7867638144765741,0.7694591609067576,0.7730661144614588,1988.0
weighted avg,0.7872149464000474,0.7691146881287726,0.7731120383677001,1988.0
