,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,696,23,36,42,0
Light_T1,6,491,232,61,0
Light_XM,1,135,602,51,0
Sensor,5,111,164,524,0
Socket,0,0,0,0,801
